model,family,preprocessor,n_folds,n_errors,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std,run_id,scenario,scenario_description,seed
ridge_classifier,linear,standard,3,0,0.8816666666666667,0.011372481406154664,0.8631481481481481,0.023942661272435495,0.4518204489166377,0.026282801173387015,0.84,0.0529150262212918,0.5869487939277517,0.02679551321202822,0.9355296296296296,0.01360029653513561,0.12164550000003753,0.0037324426354305965,0.047375799999826995,0.0042012331773292645,20260429_110129,class_imbalance,Classe positive rare.,0
logistic_regression,linear,standard,3,0,0.8816666666666667,0.01106044001535805,0.8557407407407407,0.022514284445996163,0.45077086656034027,0.026770883790130647,0.8233333333333333,0.047258156262526066,0.5821032620680953,0.027961788149040774,0.9327296296296296,0.018378964536898214,0.1689411333333434,0.018736685193787135,0.04825239999991027,0.0031398855664786316,20260429_110129,class_imbalance,Classe positive rare.,0
mlp,neural_network,standard,3,0,0.9166666666666666,0.015307950004273391,0.6677777777777778,0.14657930900082894,0.43870837129264095,0.38034063447561695,0.35666666666666663,0.31085902485424693,0.3926290822842547,0.34032443047205163,0.8160703703703703,0.19395193955195983,0.46650110000033845,0.19862868122990998,0.048300599999796155,0.00045952076154576844,20260429_110129,class_imbalance,Classe positive rare.,0
random_forest,ensemble_tree,standard,3,0,0.9006666666666666,0.0005773502691896263,0.5122222222222222,0.0024216105241892214,0.5888888888888889,0.08388704928078608,0.02666666666666667,0.005773502691896256,0.05086052739469116,0.010417941747674063,0.8942925925925925,0.02063020778496976,0.4123275666664388,0.021045482694899666,0.09107276666691178,0.013211077172426432,20260429_110129,class_imbalance,Classe positive rare.,0
dummy,baseline,standard,3,0,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10007233333332503,0.0016179094235065671,0.04558180000033948,0.0010369688712244783,20260429_110129,class_imbalance,Classe positive rare.,0
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,class_imbalance,Classe positive rare.,0
ridge_classifier,linear,standard,3,0,0.8943333333333333,0.005686240703077332,0.8627777777777778,0.021278575558006156,0.483517316017316,0.015993228788016362,0.8233333333333334,0.045092497528228935,0.6089767237593325,0.020771808503647293,0.9360888888888889,0.0037017179862035084,0.12392949999987952,0.0028892369425471704,0.046358766666647476,0.0003100541941159305,20260429_110129,class_imbalance,Classe positive rare.,1
linear_svc,svm,standard,3,0,0.8903333333333334,0.0005773502691896263,0.859074074074074,0.029398986573054422,0.4720055282555283,0.003481404555623152,0.82,0.06557438524302,0.5986387373115062,0.020455716570691382,0.9347,0.010088026150091906,0.13335646666685838,0.0037482914849274666,0.04592846666673722,0.0008804509770835073,20260429_110129,class_imbalance,Classe positive rare.,1
logistic_regression,linear,standard,3,0,0.884,0.0030000000000000027,0.862962962962963,0.01521789611411243,0.4562661366366274,0.008865503070521159,0.8366666666666668,0.030550504633038912,0.5904789049296674,0.014963494533324075,0.9325444444444445,0.009679002346303827,0.1909724333339303,0.0144470599920448,0.04934173333337336,0.0036731718666274033,20260429_110129,class_imbalance,Classe positive rare.,1
sgd_classifier,linear,standard,3,0,0.8876666666666667,0.04994330118577804,0.830925925925926,0.022431881339101324,0.492999592999593,0.12367761993271884,0.7600000000000001,0.07211102550927974,0.5873408434273006,0.0846685101478674,0.9266703703703704,0.018576934900248393,0.12495906666693675,0.0059731367057831,0.0467190333332231,0.0011069039766169536,20260429_110129,class_imbalance,Classe positive rare.,1
mlp,neural_network,standard,3,0,0.928,0.005291502622129186,0.7377777777777778,0.0718279838173066,0.7035763580794637,0.03815561618988866,0.5,0.15524174696260024,0.5717807790123816,0.09716356867128113,0.9340148148148147,0.0066762277118822665,0.5422666999999516,0.027646226725659473,0.048015899999882095,0.0014115509588814258,20260429_110129,class_imbalance,Classe positive rare.,1
random_forest,ensemble_tree,standard,3,0,0.9086666666666666,0.0015275252316519481,0.5477777777777778,0.007474235581707585,0.9116809116809117,0.07941515592459462,0.09666666666666666,0.015275252316519466,0.1744324793768652,0.024790007643237893,0.9152018518518519,0.008192311084507783,0.4272991333336904,0.023081919233472692,0.08502846666639623,0.001097702174057029,20260429_110129,class_imbalance,Classe positive rare.,1
dummy,baseline,standard,3,0,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10070786666680458,0.0012314981177293926,0.04630730000008043,0.0005507459759006823,20260429_110129,class_imbalance,Classe positive rare.,1
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,class_imbalance,Classe positive rare.,1
ridge_classifier,linear,standard,3,0,0.8036666666666666,0.0020816659994661348,0.7969047619047619,0.005548181046538583,0.6424072753248092,0.0064887617077382395,0.7799999999999999,0.020000000000000018,0.7044095697761112,0.005302038299781345,0.8759968253968253,0.005294881225841395,0.11618466666671641,0.006218390235494038,0.0426818666668017,0.0011153473105807634,20260429_110129,missing_values,Plus de valeurs manquantes.,0
logistic_regression,linear,standard,3,0,0.7996666666666666,0.007767453465154036,0.7946825396825398,0.012617550075860785,0.6347143164501531,0.00815518644470392,0.7822222222222223,0.025018511664883752,0.7007411117779657,0.014757164500580674,0.8752587301587301,0.007877880761410699,0.18195843333342054,0.027391982243055224,0.0462286999997256,0.0017270032308326568,20260429_110129,missing_values,Plus de valeurs manquantes.,0
linear_svc,svm,standard,3,0,0.801,0.0030000000000000027,0.7934126984126983,0.01228519132638669,0.6389871553626586,0.003987985863343463,0.7744444444444444,0.03595264374969658,0.6999088303141209,0.012924989604389198,0.8787888888888888,0.005478509515871534,0.13839020000007926,0.0028059949320463065,0.04126719999991716,0.0009061319601184941,20260429_110129,missing_values,Plus de valeurs manquantes.,0
sgd_classifier,linear,standard,3,0,0.749,0.09959417653658272,0.7461111111111111,0.017255472255239036,0.6135691384487374,0.14301394015574512,0.7388888888888889,0.18860108793527774,0.6444913186948437,0.029323286327930312,0.8659698412698412,0.012265694590784675,0.11903586666661188,0.00682163265299395,0.04238246666651927,0.0007754079201959599,20260429_110129,missing_values,Plus de valeurs manquantes.,0
mlp,neural_network,standard,3,0,0.8136666666666666,0.017097758137642832,0.7415079365079364,0.0330775332338657,0.7542238045007031,0.00946083615641419,0.5611111111111112,0.07313103409735262,0.6419288798722872,0.052538826460087486,0.8693269841269841,0.013221684186541726,0.40937906666628504,0.05034431781081744,0.04285843333309458,0.0012438723020225832,20260429_110129,missing_values,Plus de valeurs manquantes.,0
random_forest,ensemble_tree,standard,3,0,0.777,0.006082762530298225,0.6521428571428571,0.011753804806854775,0.803130635320371,0.005463921700396252,0.34,0.026034165586355525,0.477360764189033,0.02620023244856249,0.849181746031746,0.011324619082092683,0.586469833333164,0.03282083980264333,0.09881806666635384,0.0066819037542731625,20260429_110129,missing_values,Plus de valeurs manquantes.,0
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09693099999973735,0.008443604880138223,0.044876300000093274,0.002319937152247321,20260429_110129,missing_values,Plus de valeurs manquantes.,0
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,missing_values,Plus de valeurs manquantes.,0
ridge_classifier,linear,standard,3,0,0.791,0.013856406460551033,0.785,0.009379864573139126,0.6233389827044218,0.024480675010857243,0.77,0.008819171036881984,0.6887237462327539,0.013812366297209118,0.8740333333333332,0.005341870293379656,0.11051986666704276,0.0018168485277342686,0.04029406666692618,0.0005157069449312718,20260429_110129,missing_values,Plus de valeurs manquantes.,1
linear_svc,svm,standard,3,0,0.7873333333333333,0.009291573243177578,0.7814285714285715,0.008873640549325814,0.6176859880035618,0.01748238798033161,0.7666666666666666,0.026457513110645866,0.6838357076068037,0.010758232559393014,0.8775777777777778,0.006225527750094454,0.15585463333324392,0.008839131688997815,0.04680019999977958,0.0008760289263760138,20260429_110129,missing_values,Plus de valeurs manquantes.,1
logistic_regression,linear,standard,3,0,0.7840000000000001,0.006082762530298225,0.7784126984126983,0.004000661320993164,0.6124536172911964,0.012797776952635604,0.7644444444444445,0.019531550923607685,0.6798417046704897,0.004563262838730376,0.8771619047619049,0.006130188116950921,0.18554109999968205,0.008954006082743842,0.04197906666680259,0.0022146901238176055,20260429_110129,missing_values,Plus de valeurs manquantes.,1
