model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
linear_svc,svm,standard,3,1,ok,,,0.827,0.8202380952380952,0.6788732394366197,0.8033333333333333,0.7358778625954199,0.9125238095238095,0.14214850000007573,0.04528010000012728,20260429_110129,baseline,Dataset assurance standard.
random_forest,ensemble_tree,standard,1,1,ok,,,0.825,0.7292857142857143,0.8698224852071006,0.49,0.6268656716417911,0.8671547619047619,0.4772611999997025,0.08615240000017366,20260429_110129,baseline,Dataset assurance standard.
random_forest,ensemble_tree,standard,2,1,ok,,,0.799,0.6992857142857143,0.7894736842105263,0.45,0.5732484076433121,0.8709238095238095,0.5272805000004155,0.08358760000010079,20260429_110129,baseline,Dataset assurance standard.
random_forest,ensemble_tree,standard,3,1,ok,,,0.802,0.6919047619047619,0.8445945945945946,0.4166666666666667,0.5580357142857143,0.8766428571428571,0.5244296000000759,0.0841283999998268,20260429_110129,baseline,Dataset assurance standard.
hist_gradient_boosting,boosting,dense,1,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,baseline,Dataset assurance standard.
hist_gradient_boosting,boosting,dense,2,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,baseline,Dataset assurance standard.
hist_gradient_boosting,boosting,dense,3,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,baseline,Dataset assurance standard.
mlp,neural_network,standard,1,1,ok,,,0.847,0.7897619047619047,0.8049792531120332,0.6466666666666666,0.7171903881700554,0.8946428571428571,0.3855609000002005,0.04907809999986057,20260429_110129,baseline,Dataset assurance standard.
mlp,neural_network,standard,2,1,ok,,,0.83,0.8014285714285714,0.711038961038961,0.73,0.7203947368421053,0.9041428571428571,0.7066992999998547,0.04829619999964052,20260429_110129,baseline,Dataset assurance standard.
mlp,neural_network,standard,3,1,ok,,,0.833,0.7864285714285715,0.7472118959107806,0.67,0.7065026362038664,0.9115428571428572,0.4177579999995942,0.047207800000251154,20260429_110129,baseline,Dataset assurance standard.
dummy,baseline,standard,1,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.09892969999964407,0.045799699999406585,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,2,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10040349999962928,0.04505510000035429,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,3,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10890110000036657,0.04673029999958089,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,1,0,ok,,,0.718,0.7147619047619047,0.5221674876847291,0.7066666666666667,0.6005665722379604,0.7887952380952381,0.16065989999970043,0.059696100000110164,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,2,0,ok,,,0.724,0.7123809523809523,0.5310880829015544,0.6833333333333333,0.597667638483965,0.7809190476190476,0.19385020000026998,0.05428419999952894,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,3,0,ok,,,0.745,0.7483333333333333,0.5550122249388753,0.7566666666666667,0.6403385049365303,0.8101142857142858,0.18082179999964865,0.04953449999993609,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,1,0,ok,,,0.724,0.7180952380952381,0.5301507537688442,0.7033333333333334,0.6045845272206304,0.7863809523809523,0.12423310000031051,0.04581210000014835,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,2,0,ok,,,0.723,0.7116666666666667,0.5297157622739018,0.6833333333333333,0.5967976710334789,0.7754571428571428,0.12133859999994456,0.04538039999988541,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,3,0,ok,,,0.731,0.7354761904761905,0.5371702637889688,0.7466666666666667,0.6248256624825662,0.8077857142857143,0.11849830000028305,0.04592099999990751,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,1,0,ok,,,0.75,0.6347619047619047,0.6582278481012658,0.3466666666666667,0.45414847161572053,0.7502190476190477,0.12922590000016498,0.045719800000370014,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,2,0,ok,,,0.348,0.5304761904761905,0.3135593220338983,0.9866666666666667,0.4758842443729904,0.7602904761904762,0.14216529999976046,0.044840499999736494,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,3,0,ok,,,0.756,0.7323809523809524,0.5804597701149425,0.6733333333333333,0.6234567901234568,0.8011333333333331,0.13992640000014944,0.04611839999961376,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
linear_svc,svm,standard,1,0,ok,,,0.724,0.7180952380952381,0.5301507537688442,0.7033333333333334,0.6045845272206304,0.7843,0.16482380000070407,0.04623730000002979,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
linear_svc,svm,standard,2,0,ok,,,0.723,0.7107142857142857,0.5298701298701298,0.68,0.5956204379562043,0.7735,0.15712040000016714,0.04489749999993364,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
linear_svc,svm,standard,3,0,ok,,,0.729,0.7321428571428572,0.5349397590361445,0.74,0.620979020979021,0.8065142857142857,0.1600365000003876,0.04555069999969419,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,1,0,ok,,,0.742,0.6014285714285714,0.6944444444444444,0.25,0.36764705882352944,0.7523214285714286,0.5200107999999091,0.08405750000019907,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,2,0,ok,,,0.736,0.5828571428571429,0.7142857142857143,0.2,0.3125,0.7382071428571428,0.4701113000000987,0.08443850000003295,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,3,0,ok,,,0.733,0.5826190476190476,0.6813186813186813,0.20666666666666667,0.3171355498721228,0.7635047619047619,0.47645099999954255,0.08439559999987978,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
hist_gradient_boosting,boosting,dense,1,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
hist_gradient_boosting,boosting,dense,2,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
